Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
386,75,True,2,3,21,1,False,False
387,76,True,12,2,15,3,False,False
388,76,True,16,1,22,4,False,False
389,76,True,18,2,24,0,False,False
390,76,True,23,2,4,0,False,False
391,76,True,10,3,1,1,False,False
392,76,True,13,2,5,4,False,False
393,77,True,17,2,11,1,False,False
394,77,True,2,0,19,1,False,False
395,77,True,20,2,18,3,False,False
396,77,True,6,4,8,2,False,False
397,77,True,7,1,9,2,False,False
398,77,True,21,4,23,1,False,False
399,78,True,14,4,16,5,False,False
400,78,True,3,2,12,1,False,False
401,78,True,13,4,10,3,True,False
402,78,True,4,1,2,3,False,False
403,78,True,1,5,20,2,False,False
404,79,True,5,1,7,4,False,False
405,79,True,11,1,13,2,False,False
406,79,True,17,4,6,2,False,False
407,79,True,22,5,14,3,False,False
408,79,True,8,0,3,4,False,False
409,79,True,21,2,15,1,False,False
410,80,True,18,3,24,2,False,False
411,80,True,23,3,17,7,False,False
412,80,True,1,3,22,0,False,False
413,80,True,9,2,4,0,False,False
414,80,True,10,0,19,1,False,False
415,80,True,12,5,21,1,False,False
416,81,True,15,6,5,2,False,False
417,81,True,8,1,11,2,False,False
418,81,True,2,1,16,2,False,False
419,81,True,20,2,1,4,False,False
420,81,True,7,4,18,3,False,False
421,81,True,23,2,9,1,False,False
422,82,True,14,3,10,5,False,False
423,82,True,13,4,12,3,False,False
424,82,True,3,3,8,2,True,False
425,82,True,19,2,2,3,False,False
426,82,True,4,4,20,1,False,False
427,82,True,24,1,6,4,False,False
428,83,True,16,3,23,4,False,False
429,83,True,15,5,7,0,False,False
430,83,True,5,1,13,4,False,False
431,83,True,21,2,3,3,False,False
432,83,True,17,5,14,1,False,False
433,83,True,11,2,22,1,False,False
434,84,True,4,4,24,3,False,False
435,84,True,6,3,17,4,False,False
436,84,True,1,2,15,3,True,False
437,84,True,10,3,18,5,False,False
438,84,True,9,2,19,0,False,False
439,84,True,12,4,5,5,False,False
440,85,True,20,2,21,3,False,False
441,85,True,2,5,16,2,False,False
442,85,True,22,3,11,2,True,False
443,85,True,8,3,1,2,True,True
444,85,True,6,2,4,3,True,False
445,86,True,23,4,9,2,False,False
446,86,True,19,1,12,5,False,False
447,86,True,7,4,13,5,False,False
448,86,True,18,4,10,5,False,False
449,87,True,5,3,8,1,False,False
450,87,True,15,4,2,2,False,False
451,87,True,24,5,20,2,False,False
452,87,True,21,2,23,0,False,False
453,88,True,10,7,7,3,False,False
454,88,True,22,2,3,3,True,False
455,88,True,12,2,14,3,False,False
456,88,True,1,3,6,1,False,False
457,89,True,13,2,17,4,False,False
458,89,True,8,3,24,2,False,False
459,89,True,11,3,15,2,True,False
460,89,True,19,3,22,1,False,False
461,90,True,12,3,4,2,True,False
462,90,True,23,1,16,2,False,False
463,90,True,5,1,21,2,True,True
464,90,True,14,5,18,4,True,True
